Name,Positive,Negative,Rating,Positive(%)
Portal 2,"236,699","2,928",97.61%,98.78%
Factorio,"111,774","1,220",97.45%,98.92%
Hades,"132,184","1,570",97.43%,98.83%
The Witcher 3: Wild Hunt,"477,125","9,588",97.10%,98.03%
Terraria,"694,447","14,722",97.09%,97.92%
Half-Life: Alyx,"53,436",729,96.83%,98.65%
Stardew Valley,"332,553","7,352",96.80%,97.84%
RimWorld,"96,831","1,657",96.80%,98.32%
The Binding of Isaac: Rebirth,"128,004","2,387",96.78%,98.17%
Portal,"84,750","1,425",96.77%,98.35%
People Playground,"33,242",377,96.76%,98.88%
Euro Truck Simulator 2,"395,233","9,960",96.57%,97.54%
Helltaker,"87,104","1,679",96.55%,98.11%
The Henry Stickmin Collection,"20,746",215,96.52%,98.97%
Slay the Spire,"87,496","1,866",96.36%,97.91%
Left 4 Dead 2,"458,986","12,953",96.33%,97.26%
Mount & Blade: Warband,"123,694","2,901",96.32%,97.71%
Phasmophobia,"242,450","6,387",96.31%,97.43%
Counter-Strike,"173,939","4,470",96.25%,97.49%
Katana ZERO,"32,771",554,96.23%,98.34%
Totally Accurate Battle Simulator,"55,070","1,131",96.20%,97.99%
A Hat in Time,"35,377",680,96.07%,98.11%
ULTRAKILL,"6,708",32,96.04%,99.53%
Half-Life 2,"116,953","3,220",95.92%,97.32%
Dyson Sphere Program,"34,630",725,95.90%,97.95%
Slime Rancher,"59,817","1,478",95.87%,97.59%
OMORI,"11,073",139,95.82%,98.76%
Senren＊Banka,"5,781",37,95.73%,99.36%
Celeste,"33,694",767,95.72%,97.77%
Garry's Mod,"654,912","23,545",95.71%,96.53%
Resident Evil 2,"84,086","2,403",95.68%,97.22%
OneShot,"19,522",374,95.68%,98.12%
South Park™: The Stick of Truth™,"44,404","1,114",95.67%,97.55%
Hotline Miami,"59,650","1,607",95.66%,97.38%
A Short Hike,"6,357",54,95.65%,99.16%
Dishonored,"56,010","1,521",95.61%,97.36%
Hollow Knight,"139,527","4,469",95.58%,96.90%
Mirror,"62,311","1,753",95.57%,97.26%
Doki Doki Literature Club,"148,005","4,821",95.56%,96.85%
BattleBlock Theater,"58,493","1,641",95.55%,97.27%
One Finger Death Punch,"15,344",287,95.53%,98.16%
VA-11 Hall-A: Cyberpunk Bartender Action,"23,812",545,95.48%,97.76%
Baba Is You,"12,125",212,95.45%,98.28%
The Wolf Among Us,"24,720",584,95.44%,97.69%
Firework,"14,399",279,95.42%,98.10%
Persona 4 Golden,"41,814","1,158",95.40%,97.31%
There Is No Game: Wrong Dimension,"9,345",145,95.39%,98.47%
Iron Snout,"15,840",327,95.38%,97.98%
Bloons TD 6,"75,977","2,395",95.37%,96.94%
Deep Rock Galactic,"80,163","2,580",95.33%,96.88%
Satisfactory,"47,385","1,387",95.33%,97.16%
Townscaper,"8,266",125,95.31%,98.51%
DUSK,"11,444",215,95.28%,98.16%
Don't Starve,"84,027","2,805",95.24%,96.77%
Broforce,"40,504","1,185",95.24%,97.16%
Valheim,"185,066","6,867",95.23%,96.42%
Dead Cells,"71,412","2,331",95.23%,96.84%
Grimm,"29,846",815,95.23%,97.34%
Don't Starve Together,"240,799","9,414",95.14%,96.24%
Undertale,"143,826","5,348",95.13%,96.41%
tModLoader,"56,742","1,861",95.11%,96.82%
The Room,"16,322",391,95.11%,97.66%
Risk of Rain 2,"138,242","5,180",95.09%,96.39%
The Walking Dead,"51,666","1,676",95.09%,96.86%
Tomb Raider,"178,486","6,888",95.08%,96.28%
Just Shapes & Beats,"9,741",192,95.06%,98.07%
Life is Strange™,"142,849","5,469",95.03%,96.31%
Fallout: New Vegas,"118,283","4,460",95.00%,96.37%
Rhythm Doctor,"6,581",106,95.00%,98.41%
Grimm's Hollow,"6,044",92,94.99%,98.50%
Keep Talking and Nobody Explodes,"8,880",175,94.97%,98.07%
The Room Two,"11,675",264,94.96%,97.79%
Sid Meier's Civilization V,"166,828","6,677",94.93%,96.15%
STAR WARS™ Empire at War: Gold Pack,"21,308",601,94.92%,97.26%
Finding Paradise,"10,563",235,94.90%,97.82%
Dishonored RHCP,"8,876",182,94.90%,97.99%
Touhou Luna Nights,"9,196",196,94.86%,97.91%
Half-Life,"57,546","2,064",94.84%,96.54%
Kind Words,"5,567",89,94.83%,98.43%
"Papers, Please","39,782","1,352",94.81%,96.71%
ATRI -My Dear Moments-,"4,541",62,94.81%,98.65%
東方天空璋 ～ Hidden Star in Four Seasons.,"4,350",57,94.81%,98.71%
Eternal Senia,"11,096",266,94.79%,97.66%
CLANNAD,"4,423",60,94.79%,98.66%
GRIS,"38,391","1,324",94.74%,96.67%
Phoenix Wright: Ace Attorney Trilogy,"9,932",234,94.73%,97.70%
Counter-Strike: Source,"115,778","4,716",94.72%,96.09%
To the Moon,"51,760","1,894",94.72%,96.47%
Subnautica,"151,597","6,380",94.71%,95.96%
Divinity: Original Sin 2,"113,354","4,621",94.71%,96.08%
Cuphead,"69,082","2,651",94.71%,96.30%
Plants vs. Zombies: Game of the Year,"49,714","1,815",94.70%,96.48%
Oxygen Not Included,"61,212","2,320",94.69%,96.35%
The Expendabros,"16,367",473,94.67%,97.19%
STEINS;GATE,"9,733",234,94.67%,97.65%
Titanfall® 2,"51,393","1,934",94.62%,96.37%
Super Hexagon,"21,657",688,94.62%,96.92%
Ravenfield,"32,833","1,145",94.61%,96.63%
Gunpoint,"11,377",302,94.59%,97.41%
Epic Battle Fantasy 5,"3,386",41,94.59%,98.80%
Outlast,"66,485","2,644",94.56%,96.18%
Ori and the Will of the Wisps,"62,332","2,468",94.55%,96.19%
Castle Crashers,"73,804","2,998",94.54%,96.10%
The Room 4: Old Sins,"3,033",35,94.50%,98.86%
Half-Life 2: Episode Two,"23,431",798,94.47%,96.71%
BeamNG.drive,"64,002","2,603",94.46%,96.09%
American Truck Simulator,"72,308","3,000",94.45%,96.02%
Beat Saber,"47,227","1,856",94.43%,96.22%
Mark of the Ninja,"15,138",468,94.43%,97.00%
Enter the Gungeon,"54,493","2,198",94.41%,96.12%
NEKOPARA Vol. 2,"10,789",304,94.40%,97.26%
Saints Row: The Third,"57,727","2,363",94.39%,96.07%
FTL: Faster Than Light,"56,105","2,286",94.39%,96.09%
Unheard,"19,594",658,94.39%,96.75%
Post Void,"3,494",52,94.39%,98.53%
Danganronpa 2: Goodbye Despair,"14,515",454,94.37%,96.97%
Danganronpa: Trigger Happy Havoc,"17,380",575,94.35%,96.80%
